[560, 807, 969, 508, 186, 354, 618, 945]
[94, 659, 418, 707, 674, 524, 918, 528]
[120, 169, 878, 470, 157, 705, 787, 392]
[301, 338, 891, 117, 884, 237, 894, 247]
[606, 555, 618, 363, 947, 615, 512, 958]
[684, 449, 437, 867, 845, 794, 574, 204]
[266, 705, 735, 278, 126, 661, 867, 717]
[232, 810, 584, 286, 299, 448, 470, 777]
[396, 529, 315, 235, 303, 961, 307, 771]
[857, 959, 445, 496, 620, 139, 414, 321]
[214, 552, 654, 360, 867, 368, 554, 207]
[416, 766, 508, 611, 987, 674, 313, 888]
[884, 211, 628, 465, 399, 837, 818, 97]
[311, 833, 320, 879, 431, 447, 512, 817]
[856, 559, 988, 766, 504, 586, 804, 268]
[387, 402, 712, 979, 450, 779, 831, 294]
[655, 513, 598, 197, 233, 676, 135, 425]
[569, 486, 740, 171, 712, 509, 968, 253]
[302, 154, 595, 406, 421, 393, 678, 699]
[888, 740, 665, 574, 315, 793, 425, 194]
[221, 634, 520, 916, 694, 207, 120, 236]
[476, 704, 655, 677, 430, 515, 688, 649]
[741, 709, 260, 766, 183, 395, 481, 911]
[376, 519, 998, 829, 508, 507, 875, 309]
[295, 726, 272, 80, 141, 213, 114, 244]
[218, 878, 747, 987, 297, 464, 242, 463]
[394, 828, 513, 692, 109, 629, 471, 609]
[304, 495, 475, 584, 666, 660, 435, 410]
[104, 238, 922, 581, 588, 143, 951, 612]
[131, 433, 553, 391, 766, 109, 449, 653]
[235, 893, 750, 909, 819, 213, 972, 705]
[928, 452, 369, 524, 824, 883, 355, 915]
[239, 704, 182, 788, 175, 699, 642, 310]
[564, 983, 571, 270, 368, 96, 632, 165]
[484, 430, 103, 177, 844, 379, 800, 744]
[610, 782, 525, 896, 362, 726, 98, 944]
[450, 931, 411, 615, 887, 919, 867, 133]
[759, 331, 878, 285, 933, 791, 326, 723]
[820, 828, 373, 708, 461, 930, 935, 134]
[536, 959, 421, 888, 907, 370, 954, 275]
[720, 998, 943, 897, 147, 148, 170, 633]
[240, 624, 208, 311, 733, 826, 512, 117]
[274, 680, 427, 187, 705, 990, 997, 826]
[926, 382, 485, 103, 322, 781, 441, 422]
[776, 189, 334, 957, 245, 140, 981, 728]
[973, 976, 451, 687, 197, 347, 198, 659]
[560, 624, 879, 353, 975, 475, 347, 568]
[731, 511, 251, 147, 188, 78, 765, 953]
[296, 316, 94, 751, 927, 457, 609, 131]
[601, 764, 149, 886, 240, 172, 716, 488]
[486, 916, 291, 505, 984, 482, 106, 383]
[780, 176, 193, 425, 350, 961, 993, 369]
[77, 375, 589, 381, 163, 548, 561, 797]
[940, 859, 160, 85, 154, 752, 132, 662]
[482, 298, 838, 463, 269, 954, 849, 444]
[509, 668, 449, 516, 992, 232, 869, 336]
[936, 399, 714, 947, 528, 631, 656, 687]
[124, 330, 186, 228, 638, 170, 113, 402]
[745, 109, 351, 465, 593, 228, 140, 712]
[437, 260, 141, 934, 850, 148, 635, 165]
[283, 768, 229, 235, 940, 617, 238, 983]
[195, 999, 372, 739, 846, 152, 419, 627]
[165, 115, 101, 309, 354, 417, 445, 173]
[783, 684, 314, 478, 186, 133, 588, 340]
[361, 772, 705, 408, 546, 549, 152, 196]
[993, 370, 248, 213, 627, 334, 403, 620]
[172, 547, 267, 939, 932, 358, 144, 742]
[420, 143, 96, 247, 336, 601, 772, 222]
[503, 669, 117, 130, 340, 737, 851, 589]
[835, 865, 791, 690, 202, 611, 817, 628]
[312, 883, 746, 448, 698, 849, 429, 916]
[379, 900, 86, 319, 788, 421, 551, 981]
[480, 559, 183, 782, 324, 675, 895, 893]
[241, 974, 908, 164, 449, 693, 552, 227]
[144, 117, 479, 671, 710, 249, 587, 324]
